_input,_num,_widgetName,_source,_resultNumber,_pageUrl,ime_i_prezime_narodnog_poslanika_link,ime_i_prezime_narodnog_poslanika_link/_source,ime_i_prezime_narodnog_poslanika_link/_title,ime_i_prezime_narodnog_poslanika_link/_text,politicka_stranka,mesto,godiste
,1,skupstina-srbije-poslanici,skupstina-srbije-poslanici,1,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DRAGAN_ALEKSI%C4%86.829.891.html,/DRAGAN_ALEKSI%C4%86.829.891.html,,ALEKSIĆ DRAGAN,SNS,Osečina,1963.
,2,skupstina-srbije-poslanici,skupstina-srbije-poslanici,2,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/IRENA_ALEKSI%C4%86.731.891.html,/IRENA_ALEKSI%C4%86.731.891.html,,ALEKSIĆ IRENA,SNS,Kraljevo,1978.
,3,skupstina-srbije-poslanici,skupstina-srbije-poslanici,3,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ADRIANA_ANASTASOV.821.891.html,/ADRIANA_ANASTASOV.821.891.html,,ANASTASOV ADRIANA,SNS,Niš,1985.
,4,skupstina-srbije-poslanici,skupstina-srbije-poslanici,4,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MIRJANA_ANDRI%C4%86.824.891.html,/MIRJANA_ANDRI%C4%86.824.891.html,,ANDRIĆ MIRJANA,SNS,Beograd,1959.
,5,skupstina-srbije-poslanici,skupstina-srbije-poslanici,5,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ZORAN_ANTI%C4%86.675.891.html,/ZORAN_ANTI%C4%86.675.891.html,,ANTIĆ ZORAN,-,Jagodina,1962.
,6,skupstina-srbije-poslanici,skupstina-srbije-poslanici,6,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/KONSTANTIN_ARSENOVI%C4%86.416.891.html,/KONSTANTIN_ARSENOVI%C4%86.416.891.html,,ARSENOVIĆ KONSTANTIN,PUPS,Beograd Novi Beograd,1940.
,7,skupstina-srbije-poslanici,skupstina-srbije-poslanici,7,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/VEROLjUB_ARSI%C4%86.676.891.html,/VEROLjUB_ARSI%C4%86.676.891.html,,ARSIĆ VEROLjUB,-,Požarevac,1969.
,8,skupstina-srbije-poslanici,skupstina-srbije-poslanici,8,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MARKO_ATLAGI%C4%86+.603.891.html,/MARKO_ATLAGI%C4%86+.603.891.html,,ATLAGIĆ prof. dr MARKO,SNS,Beograd,1949.
,9,skupstina-srbije-poslanici,skupstina-srbije-poslanici,9,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/VLADO_BABI%C4%86.872.891.html,/VLADO_BABI%C4%86.872.891.html,,BABIĆ VLADO,SNS,Sombor,1960.
,10,skupstina-srbije-poslanici,skupstina-srbije-poslanici,10,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ZORAN_BABI%C4%86.678.891.html,/ZORAN_BABI%C4%86.678.891.html,,BABIĆ ZORAN,SNS,Vrnjačka Banja,1971.
,11,skupstina-srbije-poslanici,skupstina-srbije-poslanici,11,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MUAMER_BA%C4%8CEVAC.769.891.html,/MUAMER_BA%C4%8CEVAC.769.891.html,,BAČEVAC Dr MUAMER,SPDS,Novi Pazar,1977.
,12,skupstina-srbije-poslanici,skupstina-srbije-poslanici,12,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DU%C5%A0AN_BAJATOVI%C4%86.247.891.html,/DU%C5%A0AN_BAJATOVI%C4%86.247.891.html,,BAJATOVIĆ DUŠAN,SPS,Novi Sad,1967.
,13,skupstina-srbije-poslanici,skupstina-srbije-poslanici,13,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/GROZDANA_BANAC.876.891.html,/GROZDANA_BANAC.876.891.html,,BANAC GROZDANA,PUPS,Beograd Voždovac,1951.
,14,skupstina-srbije-poslanici,skupstina-srbije-poslanici,14,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DRAGANA_BARI%C5%A0I%C4%86.781.891.html,/DRAGANA_BARI%C5%A0I%C4%86.781.891.html,,BARIŠIĆ Dr DRAGANA,SNS,Kruševac,1975.
,15,skupstina-srbije-poslanici,skupstina-srbije-poslanici,15,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/OLGICA_BATI%C4%86.570.891.html,/OLGICA_BATI%C4%86.570.891.html,,BATIĆ OLGICA,DHSS,Beograd Obrenovac,1981.
,16,skupstina-srbije-poslanici,skupstina-srbije-poslanici,16,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/IVAN_BAUER+.713.891.html,/IVAN_BAUER+.713.891.html,,BAUER dr IVAN,SPDS,Beograd Stari grad,1967.
,17,skupstina-srbije-poslanici,skupstina-srbije-poslanici,17,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/IGOR_BE%C4%8CI%C4%86+.679.891.html,/IGOR_BE%C4%8CI%C4%86+.679.891.html,,BEČIĆ mr IGOR,-,Vrbas,1971.
